Trace,Exp,Core_0_IPC,Filter
410.bwaves-1963B,nopref_MTPS600,0.50064,1
410.bwaves-1963B,spp_MTPS600,0.86663,1
410.bwaves-1963B,bingo_MTPS600,0.64665,1
410.bwaves-1963B,mlop_MTPS600,0.83372,1
410.bwaves-1963B,pythia_MTPS600,0.88164,1
410.bwaves-1963B,nopref_MTPS1200,0.56991,1
410.bwaves-1963B,spp_MTPS1200,1.07322,1
410.bwaves-1963B,bingo_MTPS1200,0.86212,1
410.bwaves-1963B,mlop_MTPS1200,1.0684,1
410.bwaves-1963B,pythia_MTPS1200,1.13041,1
410.bwaves-1963B,nopref_MTPS4800,0.58071,1
410.bwaves-1963B,spp_MTPS4800,1.1301,1
410.bwaves-1963B,bingo_MTPS4800,1.05795,1
410.bwaves-1963B,mlop_MTPS4800,1.16655,1
410.bwaves-1963B,pythia_MTPS4800,1.17247,1
410.bwaves-1963B,nopref_MTPS9600,0.58092,1
410.bwaves-1963B,spp_MTPS9600,1.13169,1
410.bwaves-1963B,bingo_MTPS9600,1.06017,1
410.bwaves-1963B,mlop_MTPS9600,1.16855,1
410.bwaves-1963B,pythia_MTPS9600,1.17423,1
429.mcf-184B,nopref,0.08238,1
429.mcf-184B,spp,0.08095,1
429.mcf-184B,bingo,0.06716,1
429.mcf-184B,mlop,0.09486,1
429.mcf-184B,pythia,0.10395,1
429.mcf-184B,nopref_MTPS150,0.06289,1
429.mcf-184B,spp_MTPS150,0.05839,1
429.mcf-184B,bingo_MTPS150,0.01089,1
429.mcf-184B,mlop_MTPS150,0.03569,1
429.mcf-184B,pythia_MTPS150,0.0518,1
429.mcf-184B,nopref_MTPS300,0.0783,1
429.mcf-184B,spp_MTPS300,0.07539,1
429.mcf-184B,bingo_MTPS300,0.02094,1
429.mcf-184B,mlop_MTPS300,0.06197,1
429.mcf-184B,pythia_MTPS300,0.08324,1
429.mcf-184B,nopref_MTPS600,0.08154,1
429.mcf-184B,spp_MTPS600,0.07982,1
429.mcf-184B,bingo_MTPS600,0.03681,1
429.mcf-184B,mlop_MTPS600,0.08424,1
429.mcf-184B,pythia_MTPS600,0.09788,1
429.mcf-184B,nopref_MTPS1200,0.08228,1
429.mcf-184B,spp_MTPS1200,0.08071,1
429.mcf-184B,bingo_MTPS1200,0.05582,1
429.mcf-184B,mlop_MTPS1200,0.09287,1
429.mcf-184B,pythia_MTPS1200,0.10222,1
429.mcf-184B,nopref_MTPS4800,0.08243,1
429.mcf-184B,spp_MTPS4800,0.08096,1
429.mcf-184B,bingo_MTPS4800,0.07029,1
429.mcf-184B,mlop_MTPS4800,0.0955,1
429.mcf-184B,pythia_MTPS4800,0.10413,1
429.mcf-184B,nopref_MTPS9600,0.08244,1
429.mcf-184B,spp_MTPS9600,0.08099,1
429.mcf-184B,bingo_MTPS9600,0.07077,1
429.mcf-184B,mlop_MTPS9600,0.09567,1
429.mcf-184B,pythia_MTPS9600,0.10412,1
429.mcf-192B,nopref,0.06807,1
429.mcf-192B,spp,0.06806,1
429.mcf-192B,bingo,0.04671,1
429.mcf-192B,mlop,0.09996,1
429.mcf-192B,pythia,0.10689,1
429.mcf-192B,nopref_MTPS150,0.06243,1
429.mcf-192B,spp_MTPS150,0.06241,1
429.mcf-192B,bingo_MTPS150,0.00789,1
429.mcf-192B,mlop_MTPS150,0.04877,1
429.mcf-192B,pythia_MTPS150,0.05975,1
429.mcf-192B,nopref_MTPS300,0.06794,1
429.mcf-192B,spp_MTPS300,0.06793,1
429.mcf-192B,bingo_MTPS300,0.01502,1
429.mcf-192B,mlop_MTPS300,0.07715,1
429.mcf-192B,pythia_MTPS300,0.08979,1
429.mcf-192B,nopref_MTPS600,0.06805,1
429.mcf-192B,spp_MTPS600,0.06804,1
429.mcf-192B,bingo_MTPS600,0.02595,1
429.mcf-192B,mlop_MTPS600,0.09436,1
429.mcf-192B,pythia_MTPS600,0.10237,1
429.mcf-192B,nopref_MTPS1200,0.06807,1
429.mcf-192B,spp_MTPS1200,0.06806,1
429.mcf-192B,bingo_MTPS1200,0.03848,1
429.mcf-192B,mlop_MTPS1200,0.09909,1
429.mcf-192B,pythia_MTPS1200,0.1056,1
429.mcf-192B,nopref_MTPS4800,0.06807,1
429.mcf-192B,spp_MTPS4800,0.06807,1
429.mcf-192B,bingo_MTPS4800,0.04925,1
429.mcf-192B,mlop_MTPS4800,0.1002,1
429.mcf-192B,pythia_MTPS4800,0.10641,1
429.mcf-192B,nopref_MTPS9600,0.06807,1
429.mcf-192B,spp_MTPS9600,0.06807,1
429.mcf-192B,bingo_MTPS9600,0.04942,1
429.mcf-192B,mlop_MTPS9600,0.10023,1
429.mcf-192B,pythia_MTPS9600,0.10632,1
429.mcf-51B,nopref,0.10178,1
429.mcf-51B,spp,0.09962,1
429.mcf-51B,bingo,0.08748,1
429.mcf-51B,mlop,0.10661,1
429.mcf-51B,pythia,0.11366,1
429.mcf-51B,nopref_MTPS150,0.06816,1
429.mcf-51B,spp_MTPS150,0.06225,1
429.mcf-51B,bingo_MTPS150,0.01257,1
429.mcf-51B,mlop_MTPS150,0.03789,1
429.mcf-51B,pythia_MTPS150,0.05373,1
429.mcf-51B,nopref_MTPS300,0.0934,1
429.mcf-51B,spp_MTPS300,0.08882,1
429.mcf-51B,bingo_MTPS300,0.02445,1
429.mcf-51B,mlop_MTPS300,0.06708,1
429.mcf-51B,pythia_MTPS300,0.09069,1
429.mcf-51B,nopref_MTPS600,0.10035,1
429.mcf-51B,spp_MTPS600,0.0976,1
429.mcf-51B,bingo_MTPS600,0.04439,1
429.mcf-51B,mlop_MTPS600,0.09343,1
429.mcf-51B,pythia_MTPS600,0.1078,1
429.mcf-51B,nopref_MTPS1200,0.10186,1
429.mcf-51B,spp_MTPS1200,0.0996,1
429.mcf-51B,bingo_MTPS1200,0.07086,1
429.mcf-51B,mlop_MTPS1200,0.10436,1
429.mcf-51B,pythia_MTPS1200,0.11272,1
429.mcf-51B,nopref_MTPS4800,0.10186,1
429.mcf-51B,spp_MTPS4800,0.09972,1
429.mcf-51B,bingo_MTPS4800,0.0918,1
429.mcf-51B,mlop_MTPS4800,0.10726,1
429.mcf-51B,pythia_MTPS4800,0.11333,1
429.mcf-51B,nopref_MTPS9600,0.1018,1
429.mcf-51B,spp_MTPS9600,0.09962,1
429.mcf-51B,bingo_MTPS9600,0.09248,1
429.mcf-51B,mlop_MTPS9600,0.10735,1
429.mcf-51B,pythia_MTPS9600,0.11296,1
433.milc-127B,nopref,0.42793,1
433.milc-127B,spp,0.61024,1
433.milc-127B,bingo,0.59618,1
433.milc-127B,mlop,0.58575,1
433.milc-127B,pythia,0.63143,1
433.milc-127B,nopref_MTPS150,0.17305,1
433.milc-127B,spp_MTPS150,0.16335,1
433.milc-127B,bingo_MTPS150,0.17695,1
433.milc-127B,mlop_MTPS150,0.08478,1
433.milc-127B,pythia_MTPS150,0.17673,1
433.milc-127B,nopref_MTPS300,0.29673,1
433.milc-127B,spp_MTPS300,0.31082,1
433.milc-127B,bingo_MTPS300,0.32565,1
433.milc-127B,mlop_MTPS300,0.16729,1
433.milc-127B,pythia_MTPS300,0.33519,1
433.milc-127B,nopref_MTPS600,0.37624,1
433.milc-127B,spp_MTPS600,0.48343,1
433.milc-127B,bingo_MTPS600,0.45422,1
433.milc-127B,mlop_MTPS600,0.30713,1
433.milc-127B,pythia_MTPS600,0.50961,1
433.milc-127B,nopref_MTPS1200,0.41029,1
433.milc-127B,spp_MTPS1200,0.58385,1
433.milc-127B,bingo_MTPS1200,0.5321,1
433.milc-127B,mlop_MTPS1200,0.48015,1
433.milc-127B,pythia_MTPS1200,0.59321,1
433.milc-127B,nopref_MTPS4800,0.43539,1
433.milc-127B,spp_MTPS4800,0.61274,1
433.milc-127B,bingo_MTPS4800,0.62741,1
433.milc-127B,mlop_MTPS4800,0.61414,1
433.milc-127B,pythia_MTPS4800,0.64605,1
433.milc-127B,nopref_MTPS9600,0.43755,1
433.milc-127B,spp_MTPS9600,0.61989,1
433.milc-127B,bingo_MTPS9600,0.6352,1
433.milc-127B,mlop_MTPS9600,0.61821,1
433.milc-127B,pythia_MTPS9600,0.6501,1
436.cactusADM-1804B,nopref,0.3697,1
436.cactusADM-1804B,spp,0.3972,1
436.cactusADM-1804B,bingo,0.40128,1
436.cactusADM-1804B,mlop,0.38611,1
436.cactusADM-1804B,pythia,0.40097,1
436.cactusADM-1804B,nopref_MTPS150,0.32877,1
436.cactusADM-1804B,spp_MTPS150,0.36556,1
436.cactusADM-1804B,bingo_MTPS150,0.37501,1
436.cactusADM-1804B,mlop_MTPS150,0.34644,1
436.cactusADM-1804B,pythia_MTPS150,0.37387,1
436.cactusADM-1804B,nopref_MTPS300,0.35648,1
436.cactusADM-1804B,spp_MTPS300,0.38499,1
436.cactusADM-1804B,bingo_MTPS300,0.39057,1
436.cactusADM-1804B,mlop_MTPS300,0.37093,1
436.cactusADM-1804B,pythia_MTPS300,0.38962,1
436.cactusADM-1804B,nopref_MTPS600,0.36704,1
436.cactusADM-1804B,spp_MTPS600,0.39319,1
436.cactusADM-1804B,bingo_MTPS600,0.3977,1
436.cactusADM-1804B,mlop_MTPS600,0.38156,1
436.cactusADM-1804B,pythia_MTPS600,0.39722,1
436.cactusADM-1804B,nopref_MTPS1200,0.36919,1
436.cactusADM-1804B,spp_MTPS1200,0.3965,1
436.cactusADM-1804B,bingo_MTPS1200,0.40055,1
436.cactusADM-1804B,mlop_MTPS1200,0.38531,1
436.cactusADM-1804B,pythia_MTPS1200,0.40031,1
436.cactusADM-1804B,nopref_MTPS4800,0.36975,1
436.cactusADM-1804B,spp_MTPS4800,0.39735,1
436.cactusADM-1804B,bingo_MTPS4800,0.40147,1
436.cactusADM-1804B,mlop_MTPS4800,0.38636,1
436.cactusADM-1804B,pythia_MTPS4800,0.4011,1
436.cactusADM-1804B,nopref_MTPS9600,0.36974,1
436.cactusADM-1804B,spp_MTPS9600,0.39738,1
436.cactusADM-1804B,bingo_MTPS9600,0.40149,1
436.cactusADM-1804B,mlop_MTPS9600,0.38642,1
436.cactusADM-1804B,pythia_MTPS9600,0.40111,1
437.leslie3d-149B,nopref,0.60311,1
437.leslie3d-149B,spp,1.08768,1
437.leslie3d-149B,bingo,1.05946,1
437.leslie3d-149B,mlop,0.99363,1
437.leslie3d-149B,pythia,1.1296,1
437.leslie3d-149B,nopref_MTPS150,0.43163,1
437.leslie3d-149B,spp_MTPS150,0.4906,1
437.leslie3d-149B,bingo_MTPS150,0.47226,1
437.leslie3d-149B,mlop_MTPS150,0.49516,1
437.leslie3d-149B,pythia_MTPS150,0.50506,1
437.leslie3d-149B,nopref_MTPS300,0.56113,1
437.leslie3d-149B,spp_MTPS300,0.83046,1
437.leslie3d-149B,bingo_MTPS300,0.74911,1
437.leslie3d-149B,mlop_MTPS300,0.78289,1
437.leslie3d-149B,pythia_MTPS300,0.85924,1
437.leslie3d-149B,nopref_MTPS600,0.59494,1
437.leslie3d-149B,spp_MTPS600,1.02772,1
437.leslie3d-149B,bingo_MTPS600,0.93416,1
437.leslie3d-149B,mlop_MTPS600,0.93453,1
437.leslie3d-149B,pythia_MTPS600,1.06065,1
437.leslie3d-149B,nopref_MTPS1200,0.60128,1
437.leslie3d-149B,spp_MTPS1200,1.08006,1
437.leslie3d-149B,bingo_MTPS1200,1.0221,1
437.leslie3d-149B,mlop_MTPS1200,0.98245,1
437.leslie3d-149B,pythia_MTPS1200,1.11639,1
437.leslie3d-149B,nopref_MTPS4800,0.60391,1
437.leslie3d-149B,spp_MTPS4800,1.08989,1
437.leslie3d-149B,bingo_MTPS4800,1.07296,1
437.leslie3d-149B,mlop_MTPS4800,0.99598,1
437.leslie3d-149B,pythia_MTPS4800,1.13245,1
437.leslie3d-149B,nopref_MTPS9600,0.60416,1
437.leslie3d-149B,spp_MTPS9600,1.08948,1
437.leslie3d-149B,bingo_MTPS9600,1.07369,1
437.leslie3d-149B,mlop_MTPS9600,0.99623,1
437.leslie3d-149B,pythia_MTPS9600,1.13311,1
437.leslie3d-232B,nopref,0.5913,1
437.leslie3d-232B,spp,1.05265,1
437.leslie3d-232B,bingo,1.03157,1
437.leslie3d-232B,mlop,1.00397,1
437.leslie3d-232B,pythia,1.09637,1
437.leslie3d-232B,nopref_MTPS150,0.41245,1
437.leslie3d-232B,spp_MTPS150,0.47603,1
437.leslie3d-232B,bingo_MTPS150,0.45448,1
437.leslie3d-232B,mlop_MTPS150,0.46421,1
437.leslie3d-232B,pythia_MTPS150,0.47984,1
437.leslie3d-232B,nopref_MTPS300,0.54419,1
437.leslie3d-232B,spp_MTPS300,0.78276,1
437.leslie3d-232B,bingo_MTPS300,0.72756,1
437.leslie3d-232B,mlop_MTPS300,0.74655,1
437.leslie3d-232B,pythia_MTPS300,0.80925,1
437.leslie3d-232B,nopref_MTPS600,0.58196,1
437.leslie3d-232B,spp_MTPS600,0.98037,1
437.leslie3d-232B,bingo_MTPS600,0.91482,1
437.leslie3d-232B,mlop_MTPS600,0.92503,1
437.leslie3d-232B,pythia_MTPS600,1.01569,1
437.leslie3d-232B,nopref_MTPS1200,0.58947,1
437.leslie3d-232B,spp_MTPS1200,1.04396,1
437.leslie3d-232B,bingo_MTPS1200,1.00045,1
437.leslie3d-232B,mlop_MTPS1200,0.99076,1
437.leslie3d-232B,pythia_MTPS1200,1.08366,1
437.leslie3d-232B,nopref_MTPS4800,0.5921,1
437.leslie3d-232B,spp_MTPS4800,1.05426,1
437.leslie3d-232B,bingo_MTPS4800,1.04223,1
437.leslie3d-232B,mlop_MTPS4800,1.00698,1
437.leslie3d-232B,pythia_MTPS4800,1.09909,1
437.leslie3d-232B,nopref_MTPS9600,0.59236,1
437.leslie3d-232B,spp_MTPS9600,1.05425,1
437.leslie3d-232B,bingo_MTPS9600,1.0425,1
437.leslie3d-232B,mlop_MTPS9600,1.0071,1
437.leslie3d-232B,pythia_MTPS9600,1.0996,1
437.leslie3d-265B,nopref,0.62022,1
437.leslie3d-265B,spp,1.06506,1
437.leslie3d-265B,bingo,1.0471,1
437.leslie3d-265B,mlop,1.00782,1
437.leslie3d-265B,pythia,1.11704,1
437.leslie3d-265B,nopref_MTPS150,0.45356,1
437.leslie3d-265B,spp_MTPS150,0.51786,1
437.leslie3d-265B,bingo_MTPS150,0.50823,1
437.leslie3d-265B,mlop_MTPS150,0.52082,1
437.leslie3d-265B,pythia_MTPS150,0.54712,1
437.leslie3d-265B,nopref_MTPS300,0.57984,1
437.leslie3d-265B,spp_MTPS300,0.8513,1
437.leslie3d-265B,bingo_MTPS300,0.78235,1
437.leslie3d-265B,mlop_MTPS300,0.81532,1
437.leslie3d-265B,pythia_MTPS300,0.89801,1
437.leslie3d-265B,nopref_MTPS600,0.61371,1
437.leslie3d-265B,spp_MTPS600,1.02275,1
437.leslie3d-265B,bingo_MTPS600,0.94522,1
437.leslie3d-265B,mlop_MTPS600,0.95849,1
437.leslie3d-265B,pythia_MTPS600,1.07158,1
437.leslie3d-265B,nopref_MTPS1200,0.61852,1
437.leslie3d-265B,spp_MTPS1200,1.05881,1
437.leslie3d-265B,bingo_MTPS1200,1.01707,1
437.leslie3d-265B,mlop_MTPS1200,0.99755,1
437.leslie3d-265B,pythia_MTPS1200,1.11,1
437.leslie3d-265B,nopref_MTPS4800,0.62116,1
437.leslie3d-265B,spp_MTPS4800,1.06607,1
437.leslie3d-265B,bingo_MTPS4800,1.05847,1
437.leslie3d-265B,mlop_MTPS4800,1.01038,1
437.leslie3d-265B,pythia_MTPS4800,1.11879,1
437.leslie3d-265B,nopref_MTPS9600,0.62153,1
437.leslie3d-265B,spp_MTPS9600,1.06644,1
437.leslie3d-265B,bingo_MTPS9600,1.05875,1
437.leslie3d-265B,mlop_MTPS9600,1.0106,1
437.leslie3d-265B,pythia_MTPS9600,1.11918,1
437.leslie3d-271B,nopref,0.60162,1
437.leslie3d-271B,spp,1.07741,1
437.leslie3d-271B,bingo,1.05627,1
437.leslie3d-271B,mlop,1.00674,1
437.leslie3d-271B,pythia,1.12752,1
437.leslie3d-271B,nopref_MTPS150,0.45998,1
437.leslie3d-271B,spp_MTPS150,0.52754,1
437.leslie3d-271B,bingo_MTPS150,0.51291,1
437.leslie3d-271B,mlop_MTPS150,0.5439,1
437.leslie3d-271B,pythia_MTPS150,0.55956,1
437.leslie3d-271B,nopref_MTPS300,0.57349,1
437.leslie3d-271B,spp_MTPS300,0.87592,1
437.leslie3d-271B,bingo_MTPS300,0.78914,1
437.leslie3d-271B,mlop_MTPS300,0.84369,1
437.leslie3d-271B,pythia_MTPS300,0.92396,1
437.leslie3d-271B,nopref_MTPS600,0.59852,1
437.leslie3d-271B,spp_MTPS600,1.04229,1
437.leslie3d-271B,bingo_MTPS600,0.94982,1
437.leslie3d-271B,mlop_MTPS600,0.96727,1
437.leslie3d-271B,pythia_MTPS600,1.08923,1
437.leslie3d-271B,nopref_MTPS1200,0.60098,1
437.leslie3d-271B,spp_MTPS1200,1.07354,1
437.leslie3d-271B,bingo_MTPS1200,1.0252,1
437.leslie3d-271B,mlop_MTPS1200,0.99904,1
437.leslie3d-271B,pythia_MTPS1200,1.12157,1
437.leslie3d-271B,nopref_MTPS4800,0.60189,1
437.leslie3d-271B,spp_MTPS4800,1.07853,1
437.leslie3d-271B,bingo_MTPS4800,1.06824,1
437.leslie3d-271B,mlop_MTPS4800,1.00938,1
437.leslie3d-271B,pythia_MTPS4800,1.12902,1
437.leslie3d-271B,nopref_MTPS9600,0.60197,1
437.leslie3d-271B,spp_MTPS9600,1.07852,1
437.leslie3d-271B,bingo_MTPS9600,1.06873,1
437.leslie3d-271B,mlop_MTPS9600,1.0097,1
437.leslie3d-271B,pythia_MTPS9600,1.12929,1
445.gobmk-30B,nopref,0.37578,1
445.gobmk-30B,spp,0.37704,1
445.gobmk-30B,bingo,0.37868,1
445.gobmk-30B,mlop,0.37749,1
445.gobmk-30B,pythia,0.37862,1
445.gobmk-30B,nopref_MTPS150,0.30993,1
445.gobmk-30B,spp_MTPS150,0.31082,1
445.gobmk-30B,bingo_MTPS150,0.31023,1
445.gobmk-30B,mlop_MTPS150,0.31042,1
445.gobmk-30B,pythia_MTPS150,0.312,1
445.gobmk-30B,nopref_MTPS300,0.34258,1
445.gobmk-30B,spp_MTPS300,0.34366,1
445.gobmk-30B,bingo_MTPS300,0.34427,1
445.gobmk-30B,mlop_MTPS300,0.34378,1
445.gobmk-30B,pythia_MTPS300,0.34511,1
445.gobmk-30B,nopref_MTPS600,0.36009,1
445.gobmk-30B,spp_MTPS600,0.36126,1
445.gobmk-30B,bingo_MTPS600,0.36255,1
445.gobmk-30B,mlop_MTPS600,0.36161,1
445.gobmk-30B,pythia_MTPS600,0.3628,1
445.gobmk-30B,nopref_MTPS1200,0.36983,1
445.gobmk-30B,spp_MTPS1200,0.37105,1
445.gobmk-30B,bingo_MTPS1200,0.37262,1
445.gobmk-30B,mlop_MTPS1200,0.37149,1
445.gobmk-30B,pythia_MTPS1200,0.37262,1
445.gobmk-30B,nopref_MTPS4800,0.3791,1
445.gobmk-30B,spp_MTPS4800,0.38038,1
445.gobmk-30B,bingo_MTPS4800,0.38201,1
445.gobmk-30B,mlop_MTPS4800,0.38084,1
445.gobmk-30B,pythia_MTPS4800,0.38196,1
445.gobmk-30B,nopref_MTPS9600,0.37995,1
445.gobmk-30B,spp_MTPS9600,0.38123,1
445.gobmk-30B,bingo_MTPS9600,0.38286,1
445.gobmk-30B,mlop_MTPS9600,0.3817,1
445.gobmk-30B,pythia_MTPS9600,0.38281,1
445.gobmk-36B,nopref,0.37997,1
445.gobmk-36B,spp,0.38122,1
445.gobmk-36B,bingo,0.38281,1
445.gobmk-36B,mlop,0.38189,1
445.gobmk-36B,pythia,0.38268,1
445.gobmk-36B,nopref_MTPS150,0.31318,1
445.gobmk-36B,spp_MTPS150,0.31393,1
445.gobmk-36B,bingo_MTPS150,0.31094,1
445.gobmk-36B,mlop_MTPS150,0.31043,1
445.gobmk-36B,pythia_MTPS150,0.31474,1
445.gobmk-36B,nopref_MTPS300,0.34619,1
445.gobmk-36B,spp_MTPS300,0.34724,1
445.gobmk-36B,bingo_MTPS300,0.3469,1
445.gobmk-36B,mlop_MTPS300,0.34621,1
445.gobmk-36B,pythia_MTPS300,0.34856,1
445.gobmk-36B,nopref_MTPS600,0.36394,1
445.gobmk-36B,spp_MTPS600,0.36508,1
445.gobmk-36B,bingo_MTPS600,0.36624,1
445.gobmk-36B,mlop_MTPS600,0.36537,1
445.gobmk-36B,pythia_MTPS600,0.36649,1
445.gobmk-36B,nopref_MTPS1200,0.3739,1
445.gobmk-36B,spp_MTPS1200,0.3751,1
445.gobmk-36B,bingo_MTPS1200,0.37663,1
445.gobmk-36B,mlop_MTPS1200,0.37571,1
445.gobmk-36B,pythia_MTPS1200,0.37654,1
445.gobmk-36B,nopref_MTPS4800,0.38334,1
445.gobmk-36B,spp_MTPS4800,0.38463,1
445.gobmk-36B,bingo_MTPS4800,0.3862,1
445.gobmk-36B,mlop_MTPS4800,0.3853,1
445.gobmk-36B,pythia_MTPS4800,0.38607,1
445.gobmk-36B,nopref_MTPS9600,0.38419,1
445.gobmk-36B,spp_MTPS9600,0.38549,1
445.gobmk-36B,bingo_MTPS9600,0.38703,1
445.gobmk-36B,mlop_MTPS9600,0.38614,1
445.gobmk-36B,pythia_MTPS9600,0.38691,1
450.soplex-247B,nopref,0.28131,1
450.soplex-247B,spp,0.33427,1
450.soplex-247B,bingo,0.37206,1
450.soplex-247B,mlop,0.33203,1
450.soplex-247B,pythia,0.39374,1
450.soplex-247B,nopref_MTPS150,0.11782,1
450.soplex-247B,spp_MTPS150,0.10179,1
450.soplex-247B,bingo_MTPS150,0.07167,1
450.soplex-247B,mlop_MTPS150,0.08452,1
450.soplex-247B,pythia_MTPS150,0.10008,1
450.soplex-247B,nopref_MTPS300,0.19006,1
450.soplex-247B,spp_MTPS300,0.17992,1
450.soplex-247B,bingo_MTPS300,0.13338,1
450.soplex-247B,mlop_MTPS300,0.15259,1
450.soplex-247B,pythia_MTPS300,0.18247,1
450.soplex-247B,nopref_MTPS600,0.24475,1
450.soplex-247B,spp_MTPS600,0.26117,1
450.soplex-247B,bingo_MTPS600,0.22074,1
450.soplex-247B,mlop_MTPS600,0.2349,1
450.soplex-247B,pythia_MTPS600,0.28288,1
450.soplex-247B,nopref_MTPS1200,0.27144,1
450.soplex-247B,spp_MTPS1200,0.314,1
450.soplex-247B,bingo_MTPS1200,0.3151,1
450.soplex-247B,mlop_MTPS1200,0.30192,1
450.soplex-247B,pythia_MTPS1200,0.36107,1
450.soplex-247B,nopref_MTPS4800,0.28478,1
450.soplex-247B,spp_MTPS4800,0.34149,1
450.soplex-247B,bingo_MTPS4800,0.39248,1
450.soplex-247B,mlop_MTPS4800,0.34198,1
450.soplex-247B,pythia_MTPS4800,0.40444,1
450.soplex-247B,nopref_MTPS9600,0.28575,1
450.soplex-247B,spp_MTPS9600,0.34321,1
450.soplex-247B,bingo_MTPS9600,0.39488,1
450.soplex-247B,mlop_MTPS9600,0.34416,1
450.soplex-247B,pythia_MTPS9600,0.40698,1
459.GemsFDTD-1211B,nopref,0.48018,1
459.GemsFDTD-1211B,spp,0.66235,1
459.GemsFDTD-1211B,bingo,0.65893,1
459.GemsFDTD-1211B,mlop,0.68258,1
459.GemsFDTD-1211B,pythia,0.68152,1
459.GemsFDTD-1211B,nopref_MTPS150,0.3793,1
459.GemsFDTD-1211B,spp_MTPS150,0.42995,1
459.GemsFDTD-1211B,bingo_MTPS150,0.37698,1
459.GemsFDTD-1211B,mlop_MTPS150,0.41504,1
459.GemsFDTD-1211B,pythia_MTPS150,0.414,1
459.GemsFDTD-1211B,nopref_MTPS300,0.44959,1
459.GemsFDTD-1211B,spp_MTPS300,0.6321,1
459.GemsFDTD-1211B,bingo_MTPS300,0.52166,1
459.GemsFDTD-1211B,mlop_MTPS300,0.61985,1
459.GemsFDTD-1211B,pythia_MTPS300,0.64764,1
459.GemsFDTD-1211B,nopref_MTPS600,0.47665,1
459.GemsFDTD-1211B,spp_MTPS600,0.65462,1
459.GemsFDTD-1211B,bingo_MTPS600,0.60466,1
459.GemsFDTD-1211B,mlop_MTPS600,0.66238,1
459.GemsFDTD-1211B,pythia_MTPS600,0.67445,1
459.GemsFDTD-1211B,nopref_MTPS1200,0.47974,1
459.GemsFDTD-1211B,spp_MTPS1200,0.66098,1
459.GemsFDTD-1211B,bingo_MTPS1200,0.64389,1
459.GemsFDTD-1211B,mlop_MTPS1200,0.67797,1
459.GemsFDTD-1211B,pythia_MTPS1200,0.68059,1
459.GemsFDTD-1211B,nopref_MTPS4800,0.48029,1
459.GemsFDTD-1211B,spp_MTPS4800,0.66259,1
459.GemsFDTD-1211B,bingo_MTPS4800,0.6641,1
459.GemsFDTD-1211B,mlop_MTPS4800,0.68395,1
459.GemsFDTD-1211B,pythia_MTPS4800,0.68167,1
459.GemsFDTD-1211B,nopref_MTPS9600,0.48031,1
459.GemsFDTD-1211B,spp_MTPS9600,0.66263,1
459.GemsFDTD-1211B,bingo_MTPS9600,0.66419,1
459.GemsFDTD-1211B,mlop_MTPS9600,0.68402,1
